epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.727,1.11727,2.03601,1.42919,0.2893,0.35712,0.22288,0.14861,1.58133,2.79909,1.92029,0.000554008,0.000554008,0.000554008
2,196.231,1.1813,1.68436,1.45967,0.38967,0.48113,0.34899,0.23803,1.61097,2.1594,2.0239,0.0010877,0.0010877,0.0010877
3,276.827,1.1713,1.55639,1.44792,0.33898,0.32329,0.24173,0.16906,1.58551,2.41246,2.00093,0.00159939,0.00159939,0.00159939
4,353.266,1.14662,1.5079,1.42994,0.30805,0.41224,0.24202,0.17102,1.56341,2.36395,1.98258,0.00156798,0.00156798,0.00156798
5,433.934,1.09486,1.42208,1.39889,0.42706,0.48392,0.36616,0.27448,1.39909,1.9298,1.76245,0.00153497,0.00153497,0.00153497
6,510.536,1.06395,1.3677,1.374,0.47169,0.48945,0.36745,0.27325,1.39609,1.9698,1.81088,0.00150197,0.00150197,0.00150197
7,583.221,1.04291,1.32089,1.36048,0.41469,0.52687,0.35874,0.27024,1.30932,1.927,1.71272,0.00146896,0.00146896,0.00146896
8,657.282,1.03221,1.29016,1.3517,0.46313,0.53259,0.42358,0.31776,1.32524,1.81413,1.7527,0.00143595,0.00143595,0.00143595
9,730.963,0.99303,1.24791,1.32575,0.44894,0.541,0.45954,0.35408,1.30297,1.76273,1.70747,0.00140295,0.00140295,0.00140295
10,803.705,0.97186,1.20725,1.30982,0.43924,0.46372,0.36678,0.27857,1.31707,1.83675,1.75903,0.00136994,0.00136994,0.00136994
11,880.802,0.9735,1.21391,1.31387,0.41853,0.53847,0.40272,0.30493,1.263,1.72491,1.68745,0.00133693,0.00133693,0.00133693
12,952.773,0.94698,1.16274,1.29295,0.46762,0.54105,0.38727,0.28934,1.30638,1.79406,1.73306,0.00130393,0.00130393,0.00130393
13,1027.09,0.93948,1.16087,1.29004,0.35983,0.49338,0.36018,0.27761,1.26341,1.87097,1.70858,0.00127092,0.00127092,0.00127092
14,1099.03,0.92843,1.14488,1.27454,0.45601,0.53079,0.46356,0.36168,1.2445,1.65726,1.64843,0.00123791,0.00123791,0.00123791
15,1172.1,0.92121,1.12462,1.27461,0.41778,0.53008,0.3856,0.29738,1.2584,1.79399,1.71522,0.00120491,0.00120491,0.00120491
16,1249.13,0.90035,1.1046,1.26159,0.52,0.50436,0.45375,0.35857,1.25034,1.71675,1.67179,0.0011719,0.0011719,0.0011719
17,1321.58,0.8926,1.08481,1.25178,0.50466,0.55007,0.44519,0.3512,1.21839,1.72745,1.65715,0.00113889,0.00113889,0.00113889
18,1393.25,0.88109,1.06381,1.24369,0.46065,0.565,0.43735,0.33947,1.20818,1.64196,1.63778,0.00110589,0.00110589,0.00110589
19,1462.31,0.86631,1.04069,1.23675,0.45785,0.56763,0.41579,0.32644,1.18646,1.69751,1.60727,0.00107288,0.00107288,0.00107288
20,1533.67,0.86927,1.05041,1.23813,0.47876,0.5527,0.43192,0.34177,1.19915,1.68799,1.61999,0.00103987,0.00103987,0.00103987
21,1603.1,0.86579,1.04804,1.23573,0.47441,0.57217,0.42681,0.33465,1.19156,1.68061,1.60902,0.00100687,0.00100687,0.00100687
22,1674.67,0.85474,1.01833,1.22755,0.53451,0.52514,0.46227,0.36094,1.20972,1.64301,1.63058,0.000973861,0.000973861,0.000973861
23,1742.76,0.85827,1.01874,1.23516,0.44666,0.57845,0.43425,0.33927,1.19691,1.64253,1.62093,0.000940855,0.000940855,0.000940855
24,1814.68,0.83799,1.00012,1.22234,0.53806,0.54417,0.46823,0.36598,1.18426,1.54163,1.61002,0.000907848,0.000907848,0.000907848
25,1886.4,0.83387,0.99759,1.2192,0.45004,0.54822,0.42071,0.33089,1.17707,1.64069,1.6179,0.000874842,0.000874842,0.000874842
26,1956.31,0.84139,0.98871,1.21762,0.47435,0.61947,0.45217,0.35084,1.16471,1.57575,1.56992,0.000841835,0.000841835,0.000841835
27,2026.74,0.81856,0.97321,1.20729,0.4677,0.59649,0.46771,0.36706,1.16284,1.54912,1.58808,0.000808828,0.000808828,0.000808828
28,2097.18,0.80937,0.96027,1.20131,0.48705,0.55244,0.4561,0.35869,1.16801,1.60656,1.60294,0.000775822,0.000775822,0.000775822
29,2165.22,0.8081,0.95668,1.20425,0.46391,0.5748,0.46387,0.36904,1.15867,1.59859,1.59445,0.000742815,0.000742815,0.000742815
30,2237.66,0.81618,0.95792,1.20778,0.48399,0.58583,0.45166,0.35662,1.14642,1.59715,1.59769,0.000709809,0.000709809,0.000709809
31,2308.51,0.81032,0.94225,1.19794,0.48393,0.57817,0.44567,0.34952,1.13989,1.57506,1.57297,0.000676802,0.000676802,0.000676802
32,2379.15,0.7805,0.9166,1.18018,0.4706,0.5629,0.44586,0.34887,1.12919,1.55843,1.56374,0.000643795,0.000643795,0.000643795
